Time,Latitude,Longitude,Instant_Fuel_Consumption,Coolant_Temp,Engine_RPM,Speed,Gear,Acceleration,Acceleration_Sign,Distance,Fuel_Consumed_Liters,Lap_Number
127.05000000000001,41.5749015,2.261693518,12.366,85.0,10907.24,145.42,4,0.1942462340015855,Positive,4.568670166666673,0.7499184864361146,1
127.06,41.574901000000004,2.261697392,12.303999999999998,85.0,10912.56,145.48,4,0.19367991845056048,Positive,4.569074277777784,0.7499682082672257,1
127.07,41.5749005,2.2617012659999998,12.241999999999999,85.0,10917.88,145.54,4,0.19311360289953544,Positive,4.569478555555562,0.7500176999527811,1
127.07999999999998,41.5749,2.26170514,12.18,85.0,10923.2,145.6,4,0.1925472873485104,Positive,4.569883000000006,0.7500669612861144,1
127.08999999999997,41.5748995,2.261709014,12.117999999999999,85.0,10928.52,145.66,4,0.19198097179748538,Positive,4.570287611111118,0.7501159920605588,1
127.10000000000008,41.574899,2.261712888,12.056,85.0,10933.84,145.72,4,0.19141465624646034,Positive,4.5706923888889,0.7501647920694482,1
127.11000000000007,41.5748985,2.261716762,11.994,85.0,10939.16,145.78,4,0.19084834069543533,Positive,4.571097333333344,0.7502133611061148,1
127.12000000000006,41.574898,2.2617206359999997,11.931999999999999,85.0,10944.48,145.84,4,0.19028202514441028,Positive,4.571502444444455,0.7502616989638925,1
127.13000000000005,41.5748975,2.26172451,11.87,85.0,10949.8,145.9,4,0.18971570959338524,Positive,4.571907722222233,0.7503098054361147,1
127.14000000000004,41.574897,2.261728384,11.808,85.0,10955.12,145.96,4,0.1891493940423602,Positive,4.572313166666676,0.7503576803161146,1
127.15000000000003,41.5748965,2.261732258,11.745999999999999,85.0,10960.44,146.02,4,0.18858307849133518,Positive,4.572718777777786,0.7504053233972257,1
127.16000000000003,41.574896,2.261736132,11.684,85.0,10965.76,146.08,4,0.18801676294031014,Positive,4.573124555555563,0.7504527344727812,1
127.17000000000002,41.574895500000004,2.2617400059999997,11.622,85.0,10971.08,146.14,4,0.18745044738928512,Positive,4.5735305000000075,0.7504999133361144,1
127.18,41.574895,2.26174388,11.559999999999999,85.0,10976.4,146.2,4,0.18688413183826008,Positive,4.573936611111118,0.7505468597805588,1
127.19,41.5748945,2.261747754,11.498,85.0,10981.72,146.26,4,0.18631781628723504,Positive,4.574342888888895,0.7505935735994477,1
127.19999999999999,41.574894,2.261751628,11.436,85.0,10987.04,146.32,4,0.18575150073621002,Positive,4.574749333333338,0.7506400545861143,1
127.20999999999998,41.5748935,2.2617555019999998,11.373999999999999,85.0,10992.36,146.38,4,0.18518518518518498,Positive,4.575155944444449,0.750686302533892,1
